  채용정보,,,,,,,,,,,,,,,
기관명,공고명,공고시작일,공고마감일,접수시작일,접수마감일,접수방법,접수대행,일반전형,채용인원,채용방법,전형방법,임용시기,임용조건,담당부서,연락처
부산교통공사,2023년 부산교통공사 신입사원 공개채용 공고,4/4/23,4/24/23,4/18/23,4/24/23,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 기계직, 전기직, 통신직",94,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2023-08(월중),부산·울산·경남 거주,경영지원처 인사혁신부,051-640-7196
부산교통공사,2023년 부산교통공사 공무직 공개채용 공고,4/4/23,4/24/23,4/18/23,4/24/23,온라인 접수,https://busan.saramin.co.kr,공무직(승강장안전문 유지보수),2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2023-08(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,2023년 부산교통공사 하반기 공무직 공개채용 공고,8/29/23,9/19/23,9/12/23,9/19/23,온라인 접수,https://busan.saramin.co.kr,"공무직(차량중정비), 공무직(승강장안전문 유지보수)",10,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2024-01(월중),"부산·울산·경남 거주, 기능사 이상 자격증 소지자",경영지원처 인사혁신부,051-640-7196
부산교통공사,2023년 부산교통공사 청년인턴 공개채용 공고,9/5/23,9/25/23,9/18/23,9/25/23,온라인 접수,자체,체험형 인턴(1·2기),60,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 면접시험",2023-11(월중),"부산·울산·경남 거주, 만 34세 이하",경영지원처 인사혁신부,051-640-7196
부산교통공사,2024년 상반기 부산교통공사 신입사원 공개채용 공고,4/9/24,4/29/24,4/22/24,4/29/24,온라인 접수,https://busan.saramin.co.kr,"운영직, 운전직, 토목직, 건축직, 기계직, 전기직, 신호직, 통신직",127,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 면접시험",2024-07(월중),부산·울산·경남 거주,경영지원처 인사혁신부,051-640-7196
부산교통공사,2024년 부산교통공사 청년인턴 공개채용 공고,4/5/24,4/25/24,4/18/24,4/25/24,온라인 접수,자체,체험형 인턴(1·2기),60,NCS기반 직무능력중심 채용,"1차 서류전형, 2차 면접시험",2024-06(월중),"부산·울산·경남 거주, 만 34세 이하",경영지원처 인사혁신부,051-640-7196
부산도시공사,2020년 부산도시공사 공무직 사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,공무직(비서),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 워드프로세서와 컴퓨터 활용능력 중 하나 이상의 자격을 소지한 자 또는 해당분야 근무경력 1년 이상인 자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 공무직 사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,공무직(안내),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 공무직 사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,공무직(운전),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 1종 보통 이상 운전면허를 취득하고 운전경력 3년 이상인 자,  취업지원대상자 관련 법령에 따른 취업지원증명서 발급대상자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,행정직,5,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상)",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,건축직,5,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상), 기사(건축, 실내건축), 기술사(건축시공, 건축품질시험, 건축구조), 건축사 중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,전기직,1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상), 기사(전기, 전기공사), 기술사(건축전기설비, 발송배전, 전기응용) 중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 신입사원 모집공고,6/12/20,7/3/20,6/26/20,7/3/20,인터넷 접수,http://bmc.saramin.co.kr,통신직,1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 필기시험, 4차 면접시험, 5차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.06.12) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우), 2018. 6. 12일 이후 국내에서 실시된 시험으로서, 원서 접수 마감일까지 점수가 발표된 시험 중 기준점수 이상인 시험성적(토익 700이상, 오픽 IM1이상, 토플 79이상), 기사(정보통신, 무선설비, 방송통신, 전파전자통신), 기술사(정보통신)중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2020년 부산도시공사 공무직사원 모집공고(관리사무소장),12/1/20,12/11/20,12/2/20,12/11/20,인터넷 접수,http://bmc.recruits.co.kr,공무직(관리사무소장),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2020.12.01) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 주택관리사 자격증을 소지한자,  아파트 500세대 이상의 단지에서 3년 이상 관리사무소장으로 근무한 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,1/7/21,1/18/21,1/8/21,1/18/21,인터넷 접수,http://bmc.incruit.com,공무직(시설관리_전기),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 전기 분야 기능사 이상 자격증을 보유한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,1/7/21,1/18/21,1/8/21,1/18/21,인터넷 접수,http://bmc.incruit.com,공무직(시설관리_통신),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 통신 분야 기능사 이상 자격증을 보유한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,1/7/21,1/18/21,1/8/21,1/18/21,인터넷 접수,http://bmc.incruit.com,공무직(시설관리_공통),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 기계, 전기, 통신 분야 기능사 이상 자격증 보유한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,1/7/21,1/18/21,1/8/21,1/18/21,인터넷 접수,http://bmc.incruit.com,공무직(미화),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 공무직 사원 모집공고,1/7/21,1/18/21,1/8/21,1/18/21,인터넷 접수,http://bmc.incruit.com,공무직(안내),1,NCS기반 직무능력중심 채용,"1차 서류심사, 2차 필기시험, 3차 면접시험",데이터 없음,"본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 모집공고일(2021.01.07) 현재 만18세 이상 만60세 이하, 남자인 경우 병역필 또는 면제자(단, 필기시험일 이전 전역(소집해제) 예정인 경우, 신체 건강한 자로서 해당분야 종사 가능한 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,4/13/21,5/3/21,4/27/21,5/3/21,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직,5,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,4/13/21,5/3/21,4/27/21,5/3/21,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",토목직,2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건설재료시험, 측량 및 지형공간정보, 콘크리트, 토목, 도시계획, 교통, 건설안전), 기술사(토목품질시험, 측량 및 지형공간정보, 토질 및 기초, 토목구조, 도로 및 공항, 토목시공, 항만 및 해안, 상하수도, 수자원개발, 도시계획, 교통, 건설안전) 중 1개 이상 보유한 자 ",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,4/13/21,5/3/21,4/27/21,5/3/21,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",건축직,5,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음," 만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건축, 실내건축, 건설안전), 기술사(건축시공, 건축품질시험, 건축구조, 건설안전), 건축사 중 1개 이상 보유한 자 ",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,4/13/21,5/3/21,4/27/21,5/3/21,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직_장애인,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 「장애인복지법 시행령」제2조의 규정에 의한 장애인으로서 응시원서 접수마감일 현재까지 장애인으로 유효하게 등록되어 있는 자, 「국가유공자 등 예우 및 지원에 관한 법률 시행령」제14조 제3항의 규정에 의한 상이등급 기준에 해당하는 자로 응시원서 접수마감일 현재까지 유효하게 등록·결정되어 있는 자",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,4/13/21,5/3/21,4/27/21,5/3/21,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(운전원),1,NCS기반 직무능력중심 채용," 1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2021-07-01(목),"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 1종 보통 이상 운전면허를 취득하고 공공기관·법인·단체 등에서 운전직무 2년 이상 경력 보유자, 3년간 무사고 운전 경력 보유자, 운전면허 최초 취득 후 음주운전으로 운전면허 정지·취소를 받지 않은 자, 3년 이내 운전적성정밀검사 적합 판정자 ",경영지원실,051-810-1243
부산도시공사,2021년 부산도시공사 신입사원 모집공고,4/13/21,5/3/21,4/27/21,5/3/21,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",공무직(관리사무소장),1,NCS기반 직무능력중심 채용," 1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험",2021-07-01(목),"만18세 이상(2003.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 주택관리사 자격증을 소지한 자, 아파트 500세대 이상의 단지에서 3년 이상 관리사무소장으로 근무한 경력이 있는 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직,6,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",전산직,2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(전자계산기, 정보처리, 전자계산기조직응용, 정보보안), 기술사(컴퓨터시스템응용, 정보관리) 중 1개 이상 보유자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",토목직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건설재료시험, 측량 및 지형공간정보, 콘크리트, 토목, 도시계획, 교통, 건설안전, 산업안전), 기술사(토목품질시험, 측량 및 지형공간정보, 토질 및 기초, 토목구조, 도로 및 공항, 토목시공, 항만 및 해안, 상하수도, 수자원개발, 도시계획, 교통, 건설안전) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",조경직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자,  기사(조경, 자연생태복원), 기술사(조경, 자연환경관리) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",건축직,5,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건축, 실내건축, 건설안전, 산업안전), 기술사(건축시공, 건축품질시험, 건축구조, 건설안전), 건축사 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",기계직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(건설기계설비, 일반기계, 공조냉동기계, 건축설비), 기술사(건축기계설비, 공조냉동기계, 건설기계) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",전기직,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자,  기사(전기, 전기공사), 기술사(건축전기설비, 발송배전, 전기응용) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",통신직,2,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 본인 또는 부모 중 1인이 공고일 전일 현재 부산광역시에 주민등록이 되어 있는 자, 어학능력 기준점수 이상 취득자, 기사(정보통신, 무선설비, 방송통신, 전파전자통신), 기술사(정보통신) 중 1개 이상 보유한 자",경영지원실,051-810-1243
부산도시공사,2022년 부산도시공사 신입사원 모집공고,4/14/22,5/4/22,4/28/22,5/4/22,인터넷 접수,"부산 통합 홈페이지(http://busan.saramin.co.kr) 접속 후, 부산도시공사 채용 홈페이지 이동 통한 개별 접수",행정직_장애인,1,NCS기반 직무능력중심 채용,"1차 필기시험, 2차 인성검사, 3차 서류심사, 4차 면접시험, 5차 면접시험",데이터 없음,"만18세 이상(2004.12.31 이전 출생자), 정년(만 60세) 범위 내, 「장애인복지법 시행령」제2조의 규정에 의한 장애인으로서 응시원서 접수마감일 현재까지 장애인으로 유효하게 등록되어 있는 자, 「국가유공자 등 예우 및 지원에 관한 법률 시행령」제14조 제3항의 규정에 의한 상이등급 기준에 해당하는 자로 응시원서 접수마감일 현재까지 유효하게 등록·결정되어 있는 자",경영지원실,051-810-1243
